cycle_index,city,timestamp,lat,lon,temp,feels_like,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,aqi,pm2_5,pm10,no2,o3,so2,co,hour,day_of_week,day_of_month,month,city_encoded
0,Agadir,2026-04-25 23:31:05.569939,30.4278,-9.5981,-0.7796032063862139,17.07,1.2324475126550571,-1.012904452604357,1.2545553834172196,133.0,53.0,Clouds,broken clouds,3.0,5.44,0.9407832373345771,-0.9415600371984125,0.7538274377429978,-0.5055775890858785,0.8707800709164478,23.0,5.0,25.0,4.0,0
0,Casablanca,2026-04-25 23:30:49.327951,33.5731,-7.5898,-0.5144228608583563,18.03,1.3797997391245893,0.20130085480523507,-0.5700303968946092,40.0,10.0,Clear,clear sky,3.0,8.76,0.6540460577963316,0.5888952642416767,0.6521171526468655,1.031622197708246,0.9923937683107344,23.0,5.0,25.0,4.0,1
0,Fes,2026-04-25 23:30:59.033251,34.0181,-5.0078,-1.4537363739329348,14.96,1.8218564185331854,-0.10225047204716294,-0.8230396250978494,120.0,0.0,Clear,clear sky,2.0,2.7,-0.7703902534581772,0.14048160904266951,-2.0605862739044105,-0.9698746675461446,-1.282795820440694,23.0,5.0,25.0,4.0,2
0,Marrakech,2026-04-25 23:30:55.811733,31.6295,-7.9811,0.15332041884431974,19.81,-0.09372252557073117,-0.405801798899561,0.6804190578790976,40.0,75.0,Clouds,broken clouds,2.0,5.77,0.5694784103749135,0.5206584036679147,-0.8130259415227371,-0.7502746980041267,-0.2769491982421233,23.0,5.0,25.0,4.0,3
0,Rabat,2026-04-25 23:30:52.557303,34.0209,-6.8416,-0.6805599448035197,17.77,2.2639130979417814,-0.10225047204716294,-0.5700303968946092,340.0,40.0,Clouds,scattered clouds,3.0,9.59,0.6011912781579454,1.0568051653189015,0.5388196198815532,0.9312336402033234,1.3078292959271622,23.0,5.0,25.0,4.0,4
0,Tanger,2026-04-25 23:31:02.241601,35.7595,-5.834,-0.5623470196886926,17.58,0.5693624935421631,0.5048521816576331,2.9331743013041023,70.0,20.0,Clouds,few clouds,2.0,3.97,-0.2960186062036608,0.4524215430941527,0.1081602481770438,-0.3487204679844372,1.9716373942043042,23.0,5.0,25.0,4.0,5
1,Agadir,2026-04-26 00:31:23.892541,30.4278,-9.5981,-0.7796032063862139,17.01,1.0850952861855252,-1.012904452604357,0.7923269857382234,125.0,61.0,Clouds,broken clouds,3.0,6.07,1.2050571355265083,-0.970804406015739,0.7853705008424309,-0.4867547345537055,0.7364982800435905,0.0,6.0,26.0,4.0,0
1,Casablanca,2026-04-26 00:31:07.658254,33.5731,-7.5898,-0.5144228608583563,18.03,1.3797997391245893,-0.10225047204716294,-0.06887750256896022,50.0,12.0,Clouds,few clouds,3.0,9.41,0.8205386136572485,0.38418468252039073,0.6057681619701472,0.6363422525326138,1.374970191363591,0.0,6.0,26.0,4.0,1
1,Fes,2026-04-26 00:31:17.447490,34.0181,-5.0078,-2.0927251583374096,12.91,2.2639130979417814,-0.10225047204716294,-1.0711832912202583,140.0,0.0,Clear,clear sky,1.0,2.73,-0.7505697110937823,0.15997785492088723,-2.6380174494185287,-1.0451660856748364,-1.3169996728328361,0.0,6.0,26.0,4.0,2
1,Marrakech,2026-04-26 00:31:14.207429,31.6295,-7.9811,-0.16617397335791764,18.71,-0.09372252557073117,-0.405801798899561,0.17926616355344865,50.0,75.0,Clouds,broken clouds,2.0,5.49,0.40827133247783576,0.5791471413025678,-1.1780242431018955,-0.800468976756588,-0.1299993138906934,0.0,6.0,26.0,4.0,3
